№;Вопрос;Варианты ответа;Копатыч;Нюша;Крош;Совунья;Ежик;Пин;Кар-карыч;Лосяш;Бараш
1;Что вы делаете в свободное время?;Предпочитаю активный отдых на природе с друзьями;0;0;0,5;0;0,5;0;0;0;0
1;Что вы делаете в свободное время?;Просто отдыхаю;0;0,5;0;0;0;0;0,25;0;0,25
1;Что вы делаете в свободное время?;Ухаживаю за собой;0;0,75;0;0;0,25;0;0;0;0
1;Что вы делаете в свободное время?;Наводить порядок дома;0,5;0;0;0,5;0;0;0;0;0
1;Что вы делаете в свободное время?;Изучать что-то новое;0;0;0;0;0;0,25;0,25;0,5;0
1;Что вы делаете в свободное время?;Заниматься творчеством;0;0,25;0;0;0;0;0,25;0;0,5
1;Что вы делаете в свободное время?;Смотреть видео на ютубе;0;0,25;0,25;0;0,25;0;0;0,25;0
2;Как бы вы описали свой характер?;Веселый и амбициозный;0;0;0,75;0;0,25;0;0;0;0
2;Как бы вы описали свой характер?;Скромный и необщительный;0;0;0;0;1;0;0;0;0
2;Как бы вы описали свой характер?;Грустный меланхолик;0;0;0;0;0;0;0;0;1
2;Как бы вы описали свой характер?;Эстет, ценитель искусства;0;0;0;0;0;0;1;0;0
2;Как бы вы описали свой характер?;Умный и любознательный;0;0;0;0;0;0;0;1;0
2;Как бы вы описали свой характер?;Красивый, обладатель хорошего вкуса;0;1;0;0;0;0;0;0;0
2;Как бы вы описали свой характер?;Ответственный и пунктуальный;0;0;0;1;0;0;0;0;0
2;Как бы вы описали свой характер?;Креативный и изобретательный;0;0;0;0;0;1;0;0;0
3;Насколько вы активный человек?;Я домосед, люблю проводить время в спокойстви;0;0;0;0;0,5;0;0;0;0,5
3;Насколько вы активный человек?;Я настоящий авантюрист, постоянно ищу что-то новое для себя;0;0;0,5;0;0;0,5;0;0;0
3;Насколько вы активный человек?;У меня баланс, уделяю внимание всем сферам жизни;0;0;0;0,5;0;0;0,5;0;0
3;Насколько вы активный человек?;У меня нет времени на активности, я трудоголик;0,5;0;0;0;0;0;0;0,5;0
4;Какая профессия вам больше по душе?;Я хочу быть айтишником и знать все на свете;0;0;0;0;0;0;0;1;0
4;Какая профессия вам больше по душе?;Я в душе мудрая домохозяйка;0;0;0;1;0;0;0;0;0
4;Какая профессия вам больше по душе?;Хочу свой большой огород и хозяйство;1;0;0;0;0;0;0;0;0
